# op	level	name	count
read TopDir arch 89378596498
read TopDir block 31027189067
read TopDir crypto 21329188729
read TopDir drivers 26279267063
read TopDir fs 456916786444
read TopDir include 92094270
read TopDir ipc 62198985124
read TopDir kernel 286761448569
read TopDir lib 165737629041
read TopDir mm 363448550918
read TopDir net 23214152611
read TopDir security 20105061983
read Dir arch/x86/crypto 39036758943
read Dir arch/x86/entry 1704104269
read Dir arch/x86/entry/vdso 0
read Dir arch/x86/entry/vsyscall 725223435
read Dir arch/x86/events 114989
read Dir arch/x86/events/intel 157159
read Dir arch/x86/ia32 3696
read Dir arch/x86/include/asm 5981207248
read Dir arch/x86/kernel 30824698861
read Dir arch/x86/kernel/apic 205177020
read Dir arch/x86/kernel/cpu 321791
read Dir arch/x86/kernel/cpu/mcheck 17907
read Dir arch/x86/kernel/cpu/mtrr 5280
read Dir arch/x86/kernel/fpu 474110341
read Dir arch/x86/kernel/kprobes 148
read Dir arch/x86/lib 161362714
read Dir arch/x86/mm 10264825549
read Dir arch/x86/net 268
read Dir arch/x86/pci 506880
read Dir block 31027189067
read Dir crypto 21329177865
read Dir crypto/asymmetric_keys 10864
read Dir drivers/acpi 39825
read Dir drivers/ata 201062695
read Dir drivers/base 23217149
read Dir drivers/base/power 125751
read Dir drivers/block 1018347118
read Dir drivers/cdrom 2688390
read Dir drivers/char 19310374427
read Dir drivers/char/tpm 0
read Dir drivers/connector 31967
read Dir drivers/cpufreq 0
read Dir drivers/cpuidle 40
read Dir drivers/firmware 11889
read Dir drivers/infiniband/core 244443
read Dir drivers/input 747651
read Dir drivers/input/misc 153420
read Dir drivers/leds 1327014
read Dir drivers/leds/trigger 0
read Dir drivers/md 6400
read Dir drivers/net 43657006
read Dir drivers/net/ethernet/broadcom 18796
read Dir drivers/net/ethernet/chelsio/cxgb4 4488
read Dir drivers/net/ppp 11479
read Dir drivers/pci 708285
read Dir drivers/rtc 65668
read Dir drivers/scsi 95446994
read Dir drivers/tty 15187879
read Dir drivers/tty/hvc 5500102
read Dir drivers/tty/serial 99220
read Dir drivers/tty/serial/8250 17380
read Dir drivers/tty/vt 712528
read Dir drivers/usb/core 6145
read Dir drivers/video/console 878081
read Dir drivers/video/fbdev/core 21340
